nombre_pdf,nombre_comercial,ruc,ventas,rubro,plazo_contrato,vigencia_hoy,ren_automatica,fecha_firma,inicio_suministro,fin_suministro,potencia_hp,potencia_hfp,moneda,precio_potencia,unidad_precio_potencia,precio_energia,unidad_precio_energia,energia,costo_potencia
ATRE_20102262361_20240314_7930_00,Unionplast S A,20102262361,,,,,5,14/03/2024,01/04/2024,31/12/2026,205,205,USD,7,kWm,49,MWh,,
ATRE_20104508023_20240404_7954_00,Agropecuaria Rio Bravo Hermanos S.A.C.,20104508023,,,,,5,04/04/2024,01/05/2024,30/04/2026,205,205,PEN,26.89,kWm,0.2152,kWh,,
ATRE_20106026883_20240401_7957_00,Farmacológicos Veterinarios S.A.C,20106026883,,,,,0,01/04/2024,01/04/2024,31/03/2026,205,205,PEN,24.97,kWm,0.2113,kWh,,
ATRE_20107012011_20240326_7940_00,Maersk Logistics & Services Peru S.A.,20107012011,,,,,3,26/03/2024,01/04/2024,31/03/2027,210,210,USD,7,kWm,68,MWh,,
ATRE_20324737171_20240520_8032_00,Campos del Sur S.A.,20324737171,,,,,5,20/05/2024,01/10/2024,31/12/2027,205,205,USD,7,kWm,58,MWh,,
ATRE_20438252089_20240327_7951_00,Piladora La Merced S.R.L.,20438252089,,,,,5,27/03/2024,01/04/2024,31/12/2028,210,210,PEN,25.77,kWm,0.2135,kWm,,
ATRE_20503497990_20240507_8021_00,Eurogroup S.A.C.,20503497990,,,,,0,07/05/2024,01//01/2025,31/12/2027,350,350,USD,-1,kWm,48.5,MWh,,
ATRE_20509654060_20240506_8020_00,ltni Investments S.A.C.,20509654060,,,,,5,06/05/2024,01/05/2024,31/12/2028,210,210,PEN,-1,kWm,0.18009,kWh,,
ATRE_20519388104_20240326_7941_00,Tintoreria Perú Cotor S.A.C.,20519388104,,,,,5,26/03/2024,01/01/2025,31/12/2028,210,210,USD,7,kWm,52,MWh,,
ATRE_20536893530_20240326_7939_00,E & K Asociados S.A.C.,20536893530,,,,,5,26/03/2024,01/04/2024,30/04/2025,205,205,USD,7,kWm,52,MWh,,